obs_cd,date,addr,x,y,idx,SO2,CO,O3,NO2,PM10,PM25
111171,2017-06-28,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17345-111171,0.00358333333333333,0.5,0.078125,0.0220833333333333,50.6956521739131,33.304347826087
111171,2017-06-29,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17346-111171,0.00404166666666667,0.55,0.07975,0.023625,48.6521739130435,36.3809523809524
111171,2017-06-30,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17347-111171,0.004,0.527272727272727,0.0658333333333333,0.0190454545454545,49.8181818181818,40.1904761904762
111181,2017-06-01,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17318-111181,0.004875,0.3625,0.042875,0.0170416666666667,42.5555555555556,16.3333333333333
111181,2017-06-02,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17319-111181,0.00454166666666667,0.295833333333333,0.042,0.0175,29.4166666666667,11.3636363636364
111181,2017-06-03,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17320-111181,0.004875,0.3375,0.04475,0.019,31.7083333333333,11.5833333333333
111181,2017-06-04,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17321-111181,0.00466666666666667,0.370833333333333,0.052875,0.02075,26.375,10.9166666666667
111181,2017-06-05,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17322-111181,0.00475,0.379166666666667,0.066375,0.024625,26.1818181818182,12.5909090909091
111181,2017-06-06,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17323-111181,0.00466666666666667,0.3875,0.036,0.0220833333333333,23.5416666666667,11.5833333333333
111181,2017-06-07,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17324-111181,0.00456521739130435,0.456521739130435,0.03175,0.0225217391304348,16.6521739130435,10.8260869565217
111181,2017-06-08,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17325-111181,0.00475,0.591666666666667,0.0595,0.0239583333333333,45.0416666666667,26.875
111181,2017-06-09,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17326-111181,0.005375,0.583333333333333,0.0595,0.02525,61.6666666666667,39.5217391304348
111181,2017-06-10,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17327-111181,0.00466666666666667,0.395833333333333,0.040625,0.0190833333333333,46.9166666666667,22.625
111181,2017-06-11,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17328-111181,0.00466666666666667,0.2625,0.048,0.0190416666666667,28.125,9.95833333333333
111181,2017-06-12,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17329-111181,0.003,0.366666666666667,0.0732,0.0170952380952381,39.0909090909091,14.7727272727273
111181,2017-06-13,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17330-111181,0.00208333333333333,0.429166666666667,0.055,0.0183333333333333,40.25,18.0416666666667
111181,2017-06-14,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17331-111181,0.00233333333333333,0.420833333333333,0.06925,0.01925,48.625,21.5416666666667
111181,2017-06-15,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17332-111181,0.00333333333333333,0.5,0.067375,0.0303333333333333,60.25,28.2083333333333
111181,2017-06-16,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17333-111181,0.00416666666666667,0.604166666666667,0.11275,0.0304583333333333,74.875,40.25
111181,2017-06-17,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17334-111181,0.00466666666666667,0.541666666666667,0.1005,0.0245,57.75,31.9583333333333
111181,2017-06-18,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17335-111181,0.00245833333333333,0.429166666666667,0.08275,0.0194166666666667,44.8333333333333,26.2916666666667
111181,2017-06-19,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17336-111181,0.00258333333333333,0.475,0.073125,0.0311666666666667,57.9583333333333,32.9166666666667
111181,2017-06-20,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17337-111181,0.00186363636363636,0.431818181818182,0.0913333333333333,0.0287272727272727,54.5454545454546,30.4545454545455
111181,2017-06-21,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17338-111181,0.00225,0.3625,0.065125,0.02125,64.3333333333333,36.5
111181,2017-06-22,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17339-111181,0.00166666666666667,0.316666666666667,0.0685,0.0199166666666667,41.625,25.75
111181,2017-06-23,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17340-111181,0.00218181818181818,0.386363636363636,0.0903333333333333,0.0318181818181818,49.75,25
111181,2017-06-24,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17341-111181,0.00372222222222222,0.466666666666667,0.040375,0.0423333333333333,45,24.3333333333333
111181,2017-06-25,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17342-111181,,0.4125,0.07575,0.0213333333333333,38.25,23.0416666666667
111181,2017-06-26,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17343-111181,,0.3375,0.063,0.01975,31,17.7083333333333
111181,2017-06-27,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17344-111181,0.00508333333333333,0.365217391304348,0.069,0.0239130434782609,33.4782608695652,21.3913043478261
111181,2017-06-28,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17345-111181,0.0055,0.408333333333333,0.082625,0.027,56.625,34.4166666666667
111181,2017-06-29,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17346-111181,0.00545833333333333,0.4125,0.085125,0.0265,59.4166666666667,38.0416666666667
111181,2017-06-30,은평구 진흥로 215 (한국환경산업기술원),126.93483999999999,37.609830000000002,17347-111181,0.004,0.408333333333333,0.072125,0.0190416666666667,64.0416666666667,37.8333333333333
111191,2017-06-01,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17318-111191,0.004625,0.4125,0.043875,0.023875,45.6666666666667,19.8333333333333
111191,2017-06-02,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17319-111191,0.00445833333333333,0.4125,0.0415,0.0250416666666667,33.5,10.7826086956522
111191,2017-06-03,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17320-111191,0.00529166666666667,0.458333333333333,0.044375,0.0261666666666667,38.4166666666667,12.1739130434783
111191,2017-06-04,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17321-111191,0.00479166666666667,0.425,0.052625,0.0256666666666667,34.6521739130435,11.8695652173913
111191,2017-06-05,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17322-111191,0.004625,0.466666666666667,0.068,0.029625,30.2083333333333,14
111191,2017-06-06,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17323-111191,0.00466666666666667,0.433333333333333,0.034125,0.0263333333333333,22.7083333333333,11.2916666666667
111191,2017-06-07,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17324-111191,0.004,0.466666666666667,0.034875,0.0276666666666667,18,11.125
111191,2017-06-08,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17325-111191,0.005125,0.558333333333333,0.063125,0.0272083333333333,50.5833333333333,29
111191,2017-06-09,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17326-111191,0.00640909090909091,0.545454545454545,0.0626666666666667,0.0273636363636364,71.6190476190476,42.2
111191,2017-06-10,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17327-111191,0.00458333333333333,0.441666666666667,0.03975,0.0260833333333333,54.0833333333333,24.5833333333333
111191,2017-06-11,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17328-111191,0.00445833333333333,0.429166666666667,0.050125,0.0269166666666667,37.5416666666667,11.5
111191,2017-06-12,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17329-111191,0.00475,0.408333333333333,0.05575,0.0252083333333333,36.75,13.7083333333333
111191,2017-06-13,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17330-111191,0.00454166666666667,0.425,0.04175,0.0262916666666667,42.2916666666667,18.3636363636364
111191,2017-06-14,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17331-111191,0.00525,0.433333333333333,0.05175,0.0275833333333333,51.4583333333333,22.8333333333333
111191,2017-06-15,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17332-111191,0.00591666666666667,0.4375,0.055,0.028875,60.6956521739131,28.2916666666667
111191,2017-06-16,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17333-111191,0.00733333333333333,0.495833333333333,0.094375,0.030875,79.75,42.8333333333333
111191,2017-06-17,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17334-111191,0.00879166666666667,0.491666666666667,0.080625,0.0278333333333333,57.4583333333333,31.9583333333333
111191,2017-06-18,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17335-111191,0.005875,0.441666666666667,0.0685,0.0274166666666667,50.0416666666667,28.7916666666667
111191,2017-06-19,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17336-111191,0.006125,0.458333333333333,0.056375,0.0341666666666667,62.2083333333333,35.2083333333333
111191,2017-06-20,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17337-111191,0.00529166666666667,0.458333333333333,0.0665,0.0339583333333333,59,33.1666666666667
111191,2017-06-21,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17338-111191,0.006,0.420833333333333,0.048875,0.029125,65.7391304347826,38.2916666666667
111191,2017-06-22,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17339-111191,0.00516666666666667,0.416666666666667,0.054125,0.0274166666666667,43.375,26.1666666666667
111191,2017-06-23,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17340-111191,0.005125,0.441666666666667,0.06375,0.0332916666666667,50.3333333333333,25.2916666666667
111191,2017-06-24,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17341-111191,0.006375,0.470833333333333,0.0285,0.0385416666666667,49.7083333333333,25.4583333333333
111191,2017-06-25,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17342-111191,0.00416666666666667,0.445833333333333,0.058,0.0275416666666667,38.875,24.2916666666667
111191,2017-06-26,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17343-111191,0.004,0.415789473684211,0.0473333333333333,0.0242105263157895,26.3157894736842,16.3157894736842
111191,2017-06-27,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17344-111191,0.00466666666666667,0.420833333333333,0.0525,0.0264166666666667,32.0454545454546,20.8181818181818
111191,2017-06-28,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17345-111191,0.00566666666666667,0.429166666666667,0.063625,0.0279583333333333,52.4583333333333,34.4166666666667
111191,2017-06-29,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17346-111191,0.006,0.459090909090909,0.0706666666666667,0.0285909090909091,59.3333333333333,38.4583333333333
111191,2017-06-30,서대문구 연희로 32길 51 (서대문자연사박물관),126.9378,37.576700000000002,17347-111191,0.00441666666666667,0.433333333333333,0.0535,0.025,61.75,38.4166666666667
111201,2017-06-01,마포구 대흥로 20길 28 (마포아트센터),126.94556,37.549779999999998,17318-111201,0.00308333333333333,0.325,0.045625,0.0148333333333333,35.5416666666667,22.7083333333333
